Solenocera mutator
Sphaeronella dikrothrix
Spinacopia torus
Squilla biformis
Squilla panamensis
Stereomastis pacifica
Storthyngura octospinosalis
Subeucalanus crassus
Subeucalanus subcrassus
Subeucalanus subtenuis
Sugoniscus parasitus
Synalpheus spinifrons
Syscenus peruanus
Talacalanus greenii
Taliepus dentatus
Thindyla littoralis
Thysanopoda cornuta
Tridentella ornamenta
Vanhoeffenura unicornalis
Werthella plumifera
Xanthocalanus typicus
Zabythocypris helicina
Zoromunna setifrons
