Group	Species	Classification	sppsOnBins	N	N_Institutes	taxIDs	BINs	Phylum	Order	Family	Genus
Actinopterygii	Larimus pacificus	D		9	5	468130		Chordata	Perciformes	Sciaenidae	Larimus
Actinopterygii	Lepidocybium flavobrunneum	C	Lepidocybium flavobrunneum	20	6	52764	BOLD:AAB3856,BOLD:AAB9115	Chordata	Perciformes	Gempylidae	Lepidocybium
Actinopterygii	Lepidonectes corallicola	D	Lepidonectes corallicola	1	1	175463	BOLD:ABU6390	Chordata	Perciformes	Tripterygiidae	Lepidonectes
Actinopterygii	Leuroglossus stilbius	D	Leuroglossus stilbius	1	1	722986	BOLD:ABY0200	Chordata	Argentiniformes	Bathylagidae	Leuroglossus
Actinopterygii	Liopropoma longilepis	D	Liopropoma longilepis	1	1	177946	BOLD:ACD0957	Chordata	Perciformes	Serranidae	Liopropoma
Actinopterygii	Lobianchia dofleini	C	Lobianchia dofleini	12	5	142464	BOLD:AAC1959,BOLD:AAC1960	Chordata	Myctophiformes	Myctophidae	Lobianchia
Actinopterygii	Lobotes pacificus	D	Lobotes pacificus	1	1	125465	BOLD:AAX6259	Chordata	Perciformes	Lobotidae	Lobotes
Actinopterygii	Lophiodes caulinaris	A	Lophiodes caulinaris	12	3	125466	BOLD:AAE0897	Chordata	Lophiiformes	Lophiidae	Lophiodes
Actinopterygii	Lophiodes spilurus	A	Lophiodes spilurus	7	2	125467	BOLD:AAJ2246	Chordata	Lophiiformes	Lophiidae	Lophiodes
Actinopterygii	Lophogobius cyprinoides	A	Lophogobius cyprinoides	66	4	53818	BOLD:AAB6671	Chordata	Perciformes	Gobiidae	Lophogobius
Actinopterygii	Loweina rara	D		4	2	325330		Chordata	Myctophiformes	Myctophidae	Loweina
Actinopterygii	Lucigadus nigromaculatus	D	Lucigadus nigromaculatus,Ventrifossa nigrodorsalis,Lucigadus ori	3	3	53052	BOLD:AAE1927	Chordata	Gadiformes	Macrouridae	Lucigadus
Actinopterygii	Luciogobius elongatus	F		0	0	509840		Chordata	Perciformes	Gobiidae	Luciogobius
Actinopterygii	Lutjanus apodus	A	Lutjanus apodus	65	4	23559	BOLD:AAA5056	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus aratus	D		3	2	34710		Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus argentiventris	D	Lutjanus argentiventris,Lutjanus jocu	2	2	14536	BOLD:AAA5843	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus bohar	E**	Lutjanus bohar,Lutjanus fulvus	23	12	14516	BOLD:AAB4502,BOLD:AAB4501,BOLD:AAB4503	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus colorado	D		2	2	34506		Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus guttatus	D		0	1	18530		Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus inermis	D		9	3	34713		Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus mahogoni	A	Lutjanus mahogoni	22	4	34715	BOLD:AAA9303	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus novemfasciatus	A	Lutjanus novemfasciatus	5	2	20537	BOLD:ABX5227	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus peru	D	Lutjanus peru	1	1	21533	BOLD:AAD0753	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus russellii	E**	Lutjanus monostigma,Lutjanus russellii	34	8	20530	BOLD:AAB2905,BOLD:AAB2904,BOLD:ABY9305,BOLD:AAB2903	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lutjanus viridis	D	Lutjanus kasmira,Lutjanus viridis	2	1	34528	BOLD:ACC0930	Chordata	Perciformes	Lutjanidae	Lutjanus
Actinopterygii	Lycodapus mandibularis	E**	Lycodapus mandibularis,Lycodapus leptus	6	3	99723	BOLD:AAD7235,BOLD:AAD7234,BOLD:AAD7233	Chordata	Perciformes	Zoarcidae	Lycodapus
Actinopterygii	Lycodichthys antarcticus	B	Lycodichthys antarcticus	7	1	269159	BOLD:AAD4913	Chordata	Perciformes	Zoarcidae	Lycodichthys
Actinopterygii	Lythrypnus dalli	D	Lythrypnus dalli	1	1	76492	BOLD:AAJ2462	Chordata	Perciformes	Gobiidae	Lythrypnus
Actinopterygii	Macropinna microstoma	A	Macropinna microstoma	11	3	34567	BOLD:AAC9293	Chordata	Argentiniformes	Opisthoproctidae	Macropinna
Actinopterygii	Magnisudis prionosa	C	Magnisudis prionosa	7	4	59288	BOLD:AAD4541,BOLD:AAD4540	Chordata	Aulopiformes	Paralepididae	Magnisudis
Actinopterygii	Makaira nigricans	E*	Makaira nigricans,Istiompax indica	54	5	84611	BOLD:ABZ5150	Chordata	Perciformes	Istiophoridae	Makaira
Actinopterygii	Malacanthus brevirostris	A	Malacanthus brevirostris	20	8	34515	BOLD:AAC4965	Chordata	Perciformes	Malacanthidae	Malacanthus
Actinopterygii	Malacoctenus sudensis	D	Malacoctenus sudensis	2	1	453886	BOLD:AAJ1273	Chordata	Perciformes	Labrisomidae	Malacoctenus
Actinopterygii	Malacoctenus tetranemus	B	Malacoctenus tetranemus	7	1	181226	BOLD:ABA3260	Chordata	Perciformes	Labrisomidae	Malacoctenus
Actinopterygii	Malacoctenus zonogaster	D	Malacoctenus zonogaster	3	1	181225	BOLD:ABA3264	Chordata	Perciformes	Labrisomidae	Malacoctenus
Actinopterygii	Malacosteus niger	E*	Malacosteus australis,Malacosteus niger	21	8	70976	BOLD:AAB5515	Chordata	Stomiiformes	Stomiidae	Malacosteus
Actinopterygii	Masturus lanceolatus	D	Masturus lanceolatus	2	2	29488	BOLD:ADK1672,BOLD:AAB9569	Chordata	Tetraodontiformes	Molidae	Masturus
Actinopterygii	Maurolicus breviculus	D	Maurolicus breviculus,Maurolicus australis	1	1	452592	BOLD:ABZ6278	Chordata	Stomiiformes	Sternoptychidae	Maurolicus
Actinopterygii	Maurolicus muelleri	A	Maurolicus muelleri	6	3	70927	BOLD:AAB8655	Chordata	Stomiiformes	Sternoptychidae	Maurolicus
Actinopterygii	Mccoskerichthys sandae	F		0	0	509398		Chordata	Perciformes	Chaenopsidae	Mccoskerichthys
Actinopterygii	Megalops atlanticus	A	Megalops atlanticus	15	5	29224	BOLD:AAB9313	Chordata	Elopiformes	Megalopidae	Megalops
Actinopterygii	Melanocetus johnsonii	A	Melanocetus johnsonii	26	10	52860	BOLD:AAC8494	Chordata	Lophiiformes	Melanocetidae	Melanocetus
Actinopterygii	Melanolagus bericoides	E**	Bathylagus euryops,Melanolagus bericoides	17	3	141009	BOLD:AAF3309,BOLD:AAD0336,BOLD:AAB5134	Chordata	Argentiniformes	Bathylagidae	Melanolagus
Actinopterygii	Melanonus zugmayeri	A	Melanonus zugmayeri	12	6	28691	BOLD:AAC7280	Chordata	Gadiformes	Melanonidae	Melanonus
Actinopterygii	Melichthys niger	E**	Melichthys vidua,Melichthys niger,Melichthys indicus,Xanthichthys ringens,Odonus niger	14	7	55686	BOLD:AAB2686,BOLD:AAB7449,BOLD:AAB5804	Chordata	Tetraodontiformes	Balistidae	Melichthys
Actinopterygii	Melichthys vidua	E*	Melichthys indicus,Melichthys vidua	12	6	89203	BOLD:AAB2686	Chordata	Tetraodontiformes	Balistidae	Melichthys
Actinopterygii	Mendosoma lineatum	A	Mendosoma lineatum	5	2	59369	BOLD:AAE1398	Chordata	Perciformes	Latridae	Mendosoma
Actinopterygii	Menticirrhus elongatus	D	Menticirrhus elongatus	3	1	783366	BOLD:ADI2075	Chordata	Perciformes	Sciaenidae	Menticirrhus
Actinopterygii	Menticirrhus nasus	D		3	2	733322		Chordata	Perciformes	Sciaenidae	Menticirrhus
Actinopterygii	Merluccius albidus	A	Merluccius albidus	7	2	59615	BOLD:AAC2077	Chordata	Gadiformes	Merlucciidae	Merluccius
Actinopterygii	Merluccius angustimanus	E*	Merluccius angustimanus,Merluccius productus,Merluccius gayi	9	1	373337	BOLD:AAB5094	Chordata	Gadiformes	Merlucciidae	Merluccius
Actinopterygii	Merluccius australis	A	Merluccius australis	26	3	47383	BOLD:AAB2174	Chordata	Gadiformes	Merlucciidae	Merluccius
Actinopterygii	Merluccius gayi	E*	Merluccius productus,Merluccius gayi,Merluccius angustimanus	16	3	47382	BOLD:AAB5094	Chordata	Gadiformes	Merlucciidae	Merluccius
Actinopterygii	Metelectrona ventralis	A	Metelectrona ventralis	13	3	206538	BOLD:AAC4451	Chordata	Myctophiformes	Myctophidae	Metelectrona
Actinopterygii	Microlepidotus brevipinnis	F		0	0	11509		Chordata	Perciformes	Haemulidae	Microlepidotus
Actinopterygii	Microlophichthys microlophus	D	Oneirodes eschrichtii,Microlophichthys microlophus	3	2	263456	BOLD:AAG9562	Chordata	Lophiiformes	Oneirodidae	Microlophichthys
Actinopterygii	Micropogonias altipinnis	D		4	2	299698		Chordata	Perciformes	Sciaenidae	Micropogonias
Actinopterygii	Micropogonias undulatus	A	Micropogonias undulatus	13	5	99814	BOLD:AAD8822	Chordata	Perciformes	Sciaenidae	Micropogonias
Actinopterygii	Microspathodon dorsalis	D	Microspathodon dorsalis	1	1	14669	BOLD:AAD7585	Chordata	Perciformes	Pomacentridae	Microspathodon
Actinopterygii	Mola mola	C	Mola mola	6	5	29489	BOLD:AAD0035,BOLD:ADK1672,BOLD:AAD0034	Chordata	Tetraodontiformes	Molidae	Mola
Actinopterygii	Monolene maculipinna	A	Monolene maculipinna	11	2	483193	BOLD:ABY1601	Chordata	Pleuronectiformes	Bothidae	Monolene
Actinopterygii	Monomitopus malispinosus	B	Monomitopus malispinosus	11	1	722985	BOLD:ABY0154	Chordata	Ophidiiformes	Ophidiidae	Monomitopus
Actinopterygii	Mugil cephalus	E**	Mugil liza,Mugil cephalus,Chelon labrosus,Planiliza subviridis,Paramugil georgii,Chelon ramada	89	15	11398	BOLD:ACE4593,BOLD:ABZ4526,BOLD:AAZ1581,BOLD:ACJ0431,BOLD:ACE3808,BOLD:AAD5443,BOLD:AAE2670,BOLD:AAA7841,BOLD:AAA7835,BOLD:ACE3796,BOLD:ADK3460,BOLD:ACC0492,BOLD:AAA7833,BOLD:ADL3843,BOLD:AAA7838,BOLD:ADL3842,BOLD:AAA7839,BOLD:ACI2281,BOLD:ACE3795,BOLD:ACE3807	Chordata	Perciformes	Mugilidae	Mugil
Actinopterygii	Mugil curema	E**	Mugil trichodon,Mugil curema	38	8	11399	BOLD:AAA7840,BOLD:AAB3696,BOLD:AAB3697,BOLD:ACH8392,BOLD:ACE5250,BOLD:ACC0897,BOLD:ACA0374,BOLD:AAB3698	Chordata	Perciformes	Mugilidae	Mugil
Actinopterygii	Mulloidichthys dentatus	D	Mulloidichthys martinicus,Mullus argentinae,Mulloidichthys ayliffe,Mulloidichthys mimicus,Mulloidichthys vanicolensis,Mulloidichthys dentatus	2	2	11204	BOLD:AAC2870	Chordata	Perciformes	Mullidae	Mulloidichthys
Actinopterygii	Mulloidichthys vanicolensis	E**	Upeneus sundaicus,Mulloidichthys dentatus,Mulloidichthys vanicolensis,Mullus argentinae,Mulloidichthys ayliffe,Mulloidichthys martinicus,Mulloidichthys mimicus	21	8	89394	BOLD:AAC7718,BOLD:AAC2870	Chordata	Perciformes	Mullidae	Mulloidichthys
Actinopterygii	Muraena lentiginosa	B	Muraena lentiginosa	4	1	402073	BOLD:ABA4111	Chordata	Anguilliformes	Muraenidae	Muraena
Actinopterygii	Mycteroperca olfax	D	Mycteroperca olfax	3	1	89810	BOLD:AAF5152	Chordata	Perciformes	Serranidae	Mycteroperca
Actinopterygii	Mycteroperca xenarcha	D	Mycteroperca phenax,Mycteroperca xenarcha	1	1	125534	BOLD:AAE6263	Chordata	Perciformes	Serranidae	Mycteroperca
Actinopterygii	Myctophum affine	D	Myctophum nitidulum,Myctophum affine	3	1	30374	BOLD:AAD9568,BOLD:ACH6950	Chordata	Myctophiformes	Myctophidae	Myctophum
Actinopterygii	Myctophum aurolaternatum	D	Myctophum aurolaternatum	3	3	125632	BOLD:AAD8972	Chordata	Myctophiformes	Myctophidae	Myctophum
Actinopterygii	Myctophum brachygnathum	F		0	0	717196		Chordata	Myctophiformes	Myctophidae	Myctophum
Actinopterygii	Myctophum nitidulum	C	Myctophum nitidulum	9	4	125634	BOLD:ACH6950,BOLD:ADP8947,BOLD:ACH9970,BOLD:AAK8885,BOLD:ACI0044,BOLD:ACV9892	Chordata	Myctophiformes	Myctophidae	Myctophum
Actinopterygii	Myctophum phengodes	A	Myctophum phengodes	9	3	142465	BOLD:AAE6158	Chordata	Myctophiformes	Myctophidae	Myctophum
Actinopterygii	Myctophum spinosum	D	Myctophum spinosum	1	1	209345	BOLD:AAK8894	Chordata	Myctophiformes	Myctophidae	Myctophum
Actinopterygii	Myrichthys aspetocheiros	D	Myrichthys aspetocheiros	1	1	461702	BOLD:ABV9127	Chordata	Anguilliformes	Ophichthidae	Myrichthys
Actinopterygii	Myrichthys tigrinus	D	Myrichthys tigrinus	2	2	18049	BOLD:AAG2542	Chordata	Anguilliformes	Ophichthidae	Myrichthys
Actinopterygii	Myripristis berndti	E**	Myripristis hexagona,Myripristis earlei,Myripristis berndti	59	13	20287	BOLD:AAA9763,BOLD:ACE3002	Chordata	Beryciformes	Holocentridae	Myripristis
Actinopterygii	Myripristis leiognathus	F		0	0	18045		Chordata	Beryciformes	Holocentridae	Myripristis
Actinopterygii	Myripristis pralinia	E**	Myripristis murdjan,Myripristis hexagona,Myripristis pralinia,Myripristis seychellensis,Myripristis amaena	19	6	84466	BOLD:AAB9836,BOLD:AAA9764	Chordata	Beryciformes	Holocentridae	Myripristis
Actinopterygii	Myrophis punctatus	E**	Myrophis punctatus,Myrophis vafer	29	3	72149	BOLD:AAB7196,BOLD:AAB7195	Chordata	Anguilliformes	Ophichthidae	Myrophis
Actinopterygii	Myrophis vafer	D	Myrophis vafer,Myrophis punctatus	1	1	125489	BOLD:AAB7196	Chordata	Anguilliformes	Ophichthidae	Myrophis
Actinopterygii	Myxodagnus sagitta	D	Myxodagnus opercularis,Myxodagnus sagitta	1	1	402074	BOLD:AAX3604	Chordata	Perciformes	Dactyloscopidae	Myxodagnus
Actinopterygii	Myxodes cristatus	E**	Hypsoblennius sordidus,Scartichthys gigas,Myxodes cristatus,Hypleurochilus fissicornis	5	1	124061	BOLD:AAE3443,BOLD:AAC3142,BOLD:AAB5827,BOLD:AAE3442	Chordata	Perciformes	Clinidae	Myxodes
Actinopterygii	Myxodes viridis	D	Labrisomus philippii,Myxodes viridis,Hypsoblennius sordidus,Myxodes ornatus	2	1	124050	BOLD:AAB5825	Chordata	Perciformes	Clinidae	Myxodes
Actinopterygii	Nannobrachium achirus	E**	Nannobrachium achirus,Lampanyctus macdonaldi,Nannobrachium atrum	28	4	70971	BOLD:AAT9473,BOLD:AAB3779,BOLD:AAB3778	Chordata	Myctophiformes	Myctophidae	Nannobrachium
Actinopterygii	Nannobrachium ritteri	E*	Nannobrachium ritteri,Nannobrachium regale	10	1	34558	BOLD:AAC2991	Chordata	Myctophiformes	Myctophidae	Nannobrachium
Actinopterygii	Naso brevirostris	A	Naso brevirostris	26	9	64437	BOLD:AAC1635	Chordata	Perciformes	Acanthuridae	Naso
Actinopterygii	Naso vlamingii	A	Naso vlamingii	8	5	89147	BOLD:AAE3624	Chordata	Perciformes	Acanthuridae	Naso
Actinopterygii	Naucrates ductor	C	Naucrates ductor	7	5	52933	BOLD:AAE6750,BOLD:AAE6751	Chordata	Perciformes	Carangidae	Naucrates
Actinopterygii	Nealotus tripes	C	Nealotus tripes	5	2	140467	BOLD:ADO7565,BOLD:AAC6290,BOLD:ACY5146	Chordata	Perciformes	Gempylidae	Nealotus
Actinopterygii	Nematistius pectoralis	D	Nematistius pectoralis	1	1	68568	BOLD:AAE5297	Chordata	Perciformes	Nematistiidae	Nematistius
Actinopterygii	Nemichthys curvirostris	A	Nemichthys curvirostris	4	2	52846	BOLD:AAG9121	Chordata	Anguilliformes	Nemichthyidae	Nemichthys
Actinopterygii	Nemichthys scolopaceus	E**	Nemichthys scolopaceus,Serrivomer jesperseni,Serrivomer sector	44	11	34569	BOLD:AAB6641,BOLD:AAB6643,BOLD:AAB6642,BOLD:AAB6644,BOLD:ACC3729,BOLD:AAB5787,BOLD:ABX7765,BOLD:AAB6645	Chordata	Anguilliformes	Nemichthyidae	Nemichthys
Actinopterygii	Neobythites stelliferoides	B	Neobythites stelliferoides	6	1	722968	BOLD:ABY0156	Chordata	Ophidiiformes	Ophidiidae	Neobythites
Actinopterygii	Neogobius melanostomus	E**	Gobius niger,Pomatoschistus pictus,Neogobius melanostomus,Pomatoschistus minutus,Pomatoschistus microps	74	14	50265	BOLD:AAC0218,BOLD:AAC0219	Chordata	Perciformes	Gobiidae	Neogobius
Actinopterygii	Nexilosus latifrons	D	Nexilosus latifrons	2	1	399262	BOLD:ABW2920	Chordata	Perciformes	Pomacentridae	Nexilosus
Actinopterygii	Nezumia bairdii	C	Nezumia bairdii	14	4	71312	BOLD:AAB9335,BOLD:AAB9334	Chordata	Gadiformes	Macrouridae	Nezumia
Actinopterygii	Nezumia convergens	E*	Nezumia proxima,Nezumia convergens,Nezumia coheni,Nezumia wularnia	7	1	722972	BOLD:AAF1221	Chordata	Gadiformes	Macrouridae	Nezumia
Actinopterygii	Nezumia latirostrata	D	Nezumia latirostrata	3	1	722980	BOLD:ABX9403	Chordata	Gadiformes	Macrouridae	Nezumia
Actinopterygii	Nezumia stelgidolepis	B	Nezumia stelgidolepis	5	1	160590	BOLD:ABX7709	Chordata	Gadiformes	Macrouridae	Nezumia
Actinopterygii	Nicholsina denticulata	D	Nicholsina denticulata	2	1	89809	BOLD:AAR7134	Chordata	Perciformes	Scaridae	Nicholsina
Actinopterygii	Nomeus gronovii	E*	Nomeus gronovii,Cubiceps baxteri	6	2	64247	BOLD:AAD6532	Chordata	Perciformes	Nomeidae	Nomeus
Actinopterygii	Normanichthys crockeri	B	Normanichthys crockeri	5	1	58300	BOLD:AAE1925	Chordata	Scorpaeniformes	Normanichthyidae	Normanichthys
Actinopterygii	Notacanthus spinosus	B	Notacanthus spinosus	9	1	722991	BOLD:ABX7735	Chordata	Notacanthiformes	Notacanthidae	Notacanthus
Actinopterygii	Notolabrus inscriptus	D	Notolabrus inscriptus	3	1	52994	BOLD:AAI2448	Chordata	Perciformes	Labridae	Notolabrus
Actinopterygii	Notolychnus valdiviae	C	Notolychnus valdiviae	6	4	125479	BOLD:AAF2698,BOLD:AAF2697,BOLD:ABV8010	Chordata	Myctophiformes	Myctophidae	Notolychnus
Actinopterygii	Notophycis marginata	A	Notophycis marginata	10	3	53042	BOLD:AAC7918	Chordata	Gadiformes	Moridae	Notophycis
Actinopterygii	Notoscopelus caudispinosus	A	Notoscopelus caudispinosus	10	3	140600	BOLD:AAI2430	Chordata	Myctophiformes	Myctophidae	Notoscopelus
Actinopterygii	Notoscopelus elongatus	C	Notoscopelus elongatus	27	4	100814	BOLD:AAB7073,BOLD:ACH4503,BOLD:AAZ5245	Chordata	Myctophiformes	Myctophidae	Notoscopelus
Actinopterygii	Notothenia angustata	D	Notothenia angustata	1	1	359206	BOLD:ABV5365	Chordata	Perciformes	Nototheniidae	Notothenia
Actinopterygii	Novaculichthys taeniourus	A	Novaculichthys taeniourus	32	10	34521	BOLD:AAB3259	Chordata	Perciformes	Labridae	Novaculichthys
Actinopterygii	Odontesthes brevianalis	D	Odontesthes brevianalis,Odontesthes mauleanum	3	1	161310	BOLD:AAE2397	Chordata	Atheriniformes	Atherinidae	Odontesthes
Actinopterygii	Odontesthes regia	E*	Odontesthes smitti,Odontesthes hatcheri,Odontesthes regia,Odontesthes argentinensis,Odontesthes gracilis,Odontesthes nigricans	22	5	58285	BOLD:AAB5756	Chordata	Atheriniformes	Atherinidae	Odontesthes
Actinopterygii	Odontoscion xanthops	D		2	2	34517		Chordata	Perciformes	Sciaenidae	Odontoscion
Actinopterygii	Oligoplites saurus	D	Oligoplites saurus	2	2	140328	BOLD:AAI1498,BOLD:AAO1849	Chordata	Perciformes	Carangidae	Oligoplites
Actinopterygii	Oneirodes rosenblatti	D	Oneirodes rosenblatti	1	1	723001	BOLD:AAU3695	Chordata	Lophiiformes	Oneirodidae	Oneirodes
Actinopterygii	Ophichthus apachus	D		0	1	449230		Chordata	Anguilliformes	Ophichthidae	Ophichthus
Actinopterygii	Ophichthus frontalis	D	Ophichthus frontalis	1	1	483194	BOLD:ABX9916	Chordata	Anguilliformes	Ophichthidae	Ophichthus
Actinopterygii	Ophichthus remiger	A	Ophichthus remiger	9	2	91470	BOLD:AAE1739	Chordata	Anguilliformes	Ophichthidae	Ophichthus
Actinopterygii	Ophichthus triserialis	D	Ophichthus triserialis	1	1	452594	BOLD:ABW6641	Chordata	Anguilliformes	Ophichthidae	Ophichthus
Actinopterygii	Ophichthus zophochir	A	Ophichthus zophochir	4	2	125490	BOLD:AAI1203	Chordata	Anguilliformes	Ophichthidae	Ophichthus
Actinopterygii	Ophioblennius atlanticus	D	Ophioblennius atlanticus,Ophioblennius macclurei	3	1	64237	BOLD:AAA9847	Chordata	Perciformes	Blenniidae	Ophioblennius
Actinopterygii	Ophioblennius steindachneri	D	Ophioblennius steindachneri	2	1	14472	BOLD:AAD0071	Chordata	Perciformes	Blenniidae	Ophioblennius
Actinopterygii	Ophioscion scierus	D		6	3	468127		Chordata	Perciformes	Sciaenidae	Ophioscion
Actinopterygii	Ophioscion vermicularis	F		0	0	717215		Chordata	Perciformes	Sciaenidae	Ophioscion
Actinopterygii	Opisthonema bulleri	F		0	0	10856		Chordata	Clupeiformes	Clupeidae	Opisthonema
Actinopterygii	Opisthonema libertate	D		0	1	76450		Chordata	Clupeiformes	Clupeidae	Opisthonema
Actinopterygii	Opisthonema medirastre	D	Opisthonema medirastre	2	1	364658	BOLD:AAE1898	Chordata	Clupeiformes	Clupeidae	Opisthonema
Actinopterygii	Opisthonema oglinum	E**	Dorosoma petenense,Opisthonema oglinum	19	4	23564	BOLD:AAC3463,BOLD:AAD1175,BOLD:ADB3285	Chordata	Clupeiformes	Clupeidae	Opisthonema
Actinopterygii	Oplegnathus fasciatus	D		12	2	105120		Chordata	Perciformes	Oplegnathidae	Oplegnathus
Actinopterygii	Orthopristis chalceus	D		26	6	59263		Chordata	Perciformes	Haemulidae	Orthopristis
Actinopterygii	Ostracion meleagris	A	Ostracion meleagris	26	7	10988	BOLD:AAC0811	Chordata	Tetraodontiformes	Ostraciidae	Ostracion
Actinopterygii	Otophidium indefatigabile	B	Otophidium indefatigabile	4	1	483202	BOLD:ABY1887	Chordata	Ophidiiformes	Ophidiidae	Otophidium
Actinopterygii	Oxycirrhites typus	A	Oxycirrhites typus	6	2	47154	BOLD:AAE3872	Chordata	Perciformes	Cirrhitidae	Oxycirrhites
Actinopterygii	Oxyporhamphus micropterus	D	Hemiramphus convexus,Oxyporhamphus micropterus	2	2	10606	BOLD:AAU5130,BOLD:AAF2491	Chordata	Beloniformes	Hemiramphidae	Oxyporhamphus
Actinopterygii	Paraclinus nigripinnis	D	Paraclinus fasciatus,Paraclinus nigripinnis	1	1	111863	BOLD:AAB9349	Chordata	Perciformes	Labrisomidae	Paraclinus
Actinopterygii	Paraconger californiensis	D	Paraconger californiensis	3	1	399256	BOLD:ABU6929	Chordata	Anguilliformes	Congridae	Paraconger
Actinopterygii	Paradiplospinus gracilis	E*	Paradiplospinus antarcticus,Paradiplospinus gracilis	9	2	59298	BOLD:AAC8271	Chordata	Perciformes	Gempylidae	Paradiplospinus
Actinopterygii	Paralabrax callaensis	B	Paralabrax callaensis	7	1	371479	BOLD:ACW3999	Chordata	Perciformes	Serranidae	Paralabrax
Actinopterygii	Paralabrax humeralis	A	Paralabrax humeralis	9	3	315603	BOLD:ACL8546	Chordata	Perciformes	Serranidae	Paralabrax
Actinopterygii	Paralichthys adspersus	A	Paralichthys adspersus	12	2	66199	BOLD:AAE2983	Chordata	Pleuronectiformes	Paralichthyidae	Paralichthys
Actinopterygii	Paralichthys californicus	E*	Hippoglossus stenolepis,Paralichthys californicus	15	5	72408	BOLD:AAE6872	Chordata	Pleuronectiformes	Paralichthyidae	Paralichthys
Actinopterygii	Paraliparis rosaceus	A	Paraliparis rosaceus	7	3	34565	BOLD:ACE4618	Chordata	Scorpaeniformes	Liparidae	Paraliparis
Actinopterygii	Paralonchurus peruanus	A	Paralonchurus peruanus	5	2	371495	BOLD:ACB8681	Chordata	Perciformes	Sciaenidae	Paralonchurus
Actinopterygii	Paranotothenia magellanica	D	Paranotothenia magellanica	2	1	359205	BOLD:ABU8318	Chordata	Perciformes	Nototheniidae	Paranotothenia
Actinopterygii	Paranthias colonus	D	Paranthias colonus	3	2	18777	BOLD:AAC8378	Chordata	Perciformes	Serranidae	Paranthias
Actinopterygii	Paranthias furcifer	A	Paranthias furcifer	7	3	64271	BOLD:AAC8377	Chordata	Perciformes	Serranidae	Paranthias
Actinopterygii	Pareques perissa	B	Pareques perissa	4	1	91548	BOLD:AAX0850	Chordata	Perciformes	Sciaenidae	Pareques
Actinopterygii	Pareques viola	D	Pareques viola	1	1	91547	BOLD:AAX0854	Chordata	Perciformes	Sciaenidae	Pareques
Actinopterygii	Parexocoetus brachypterus	D		7	2	140586		Chordata	Beloniformes	Exocoetidae	Parexocoetus
Actinopterygii	Patagonotothen guntheri	D	Patagonotothen guntheri,Patagonotothen tessellata	2	2	77441	BOLD:ADI6202	Chordata	Perciformes	Nototheniidae	Patagonotothen
Actinopterygii	Patagonotothen ramsayi	E**	Patagonotothen ramsayi,Patagonotothen wiltoni	10	2	54129	BOLD:AAC5907,BOLD:ADG6349	Chordata	Perciformes	Nototheniidae	Patagonotothen
Actinopterygii	Patagonotothen squamiceps	D	Patagonotothen squamiceps	1	1	181782	BOLD:AAX1615	Chordata	Perciformes	Nototheniidae	Patagonotothen
Actinopterygii	Patagonotothen tessellata	E*	Patagonotothen tessellata,Patagonotothen guntheri	5	1	54162	BOLD:ADI6202	Chordata	Perciformes	Nototheniidae	Patagonotothen
Actinopterygii	Patagonotothen wiltoni	D	Patagonotothen wiltoni,Patagonotothen ramsayi	2	2	181783	BOLD:AAC5907	Chordata	Perciformes	Nototheniidae	Patagonotothen
Actinopterygii	Peprilus medius	A	Peprilus medius	8	2	79700	BOLD:AAX1555	Chordata	Perciformes	Stromateidae	Peprilus
Actinopterygii	Peprilus snyderi	E*	Peprilus snyderi,Peprilus paru	7	2	483189	BOLD:AAG2603	Chordata	Perciformes	Stromateidae	Peprilus
Actinopterygii	Perissias taeniopterus	D	Perissias taeniopterus	2	1	453869	BOLD:ABA4659	Chordata	Pleuronectiformes	Bothidae	Perissias
Actinopterygii	Peristedion barbiger	A	Peristedion barbiger	12	2	722966	BOLD:ABX7772	Chordata	Scorpaeniformes	Peristediidae	Peristedion
Actinopterygii	Photostomias guernei	A	Photostomias guernei	9	3	140699	BOLD:AAB5517	Chordata	Stomiiformes	Stomiidae	Photostomias
Actinopterygii	Phtheirichthys lineatus	D	Phtheirichthys lineatus	3	2	125576	BOLD:AAY1487	Chordata	Perciformes	Echeneidae	Phtheirichthys
Actinopterygii	Physiculus nematopus	E*	Physiculus rastrelliger,Physiculus nematopus	5	1	722987	BOLD:ABX8174	Chordata	Gadiformes	Moridae	Physiculus
Actinopterygii	Pimelodus blochii	C	Pimelodus blochii	16	4	48064	BOLD:ABZ4818,BOLD:ADL3723,BOLD:ACR8735,BOLD:AAF8022	Chordata	Siluriformes	Pimelodidae	Pimelodus
