Ablennes hians
Eucinostomus entomelas
Eucinostomus gracilis
Eugerres lineatus
Euleptorhamphus viridis
Euthynnus lineatus
Evermannella ahlstromi
Evorthodus minutus
Exocoetus monocirrhus
Exocoetus obtusirostris
Exocoetus volitans
Facciolella equatorialis
Fistularia commersonii
Fistularia corneta
Fistularia petimba
Fodiator acutus
Fodiator rostratus
Forcipiger flavissimus
Fowlerichthys avalonis
Gadella filifer
Gadella thysthlon
Gempylus serpens
Genyatremus dovii
Genyatremus pacifici
Gerres cinereus
Gerres simillimus
Gillellus semicinctus
Girella freminvillii
Girella laevifrons
Gnathanodon speciosus
Gnathophis cinctus
Gobiesox adustus
Gobioides peruanus
Gobiomorus maculatus
Gobiomorus polylepis
Gobionellus liolepis
Gobionellus microdon
Gobiosoma nudum
Gobiosoma paradoxum
Gonichthys cocco
Gonichthys tenuiculus
Gonichthys venetus
Grammonus diagrammus
Guentherus altivela
Gymneleotris seminuda
Gymnomuraena zebra
Gymnothorax angusticeps
Gymnothorax buroensis
Gymnothorax castaneus
Gymnothorax dovii
Gymnothorax equatorialis
Gymnothorax flavimarginatus
Gymnothorax javanicus
Gymnothorax meleagris
Gymnothorax ocellatus
Gymnothorax panamensis
Gymnothorax pictus
Gymnothorax porphyreus
Gymnothorax serratidens
Haemulon maculicauda
Haemulon parra
Haemulon scudderii
Haemulon sexfasciatum
Haemulon steindachneri
Haemulopsis axillaris
Haemulopsis leuciscus
Haemulopsis nitidus
Halichoeres adustus
Halichoeres chierchiae
Halichoeres dispilus
Halichoeres melanotis
Halichoeres nicholsi
Halichoeres notospilus
Halichoeres raisneri
Halosaurus radiatus
Harengula thrissina
Hemanthias peruanus
Hemanthias signifer
Hemicaranx leucurus
Hemilutjanus macrophthalmos
Hemiramphus brasiliensis
Hemiramphus saltator
Herpetoichthys fossatus
Heteristius cinctus
Heteroconger klausewitzi
Heteropriacanthus cruentatus
Hippocampus ingens
Hippoglossina bollmani
Hippoglossina tetrophthalma
Hirundichthys marginatus
Hirundichthys rondeletii
Hirundichthys speculiger
Holacanthus passer
Holacanthus tricolor
Holtbyrnia latifrons
Hoplopagrus guentherii
Hoplostethus mediterraneus
Hoplostethus mento
Hoplostethus pacificus
Hoplunnis pacifica
Hygophum reinhardtii
Hypoplectrus unicolor
Hyporhamphus gilli
Hyporhamphus naos
Hyporhamphus snyderi
Hyporhamphus unifasciatus
Hyporthodus acanthistius
Hyporthodus mystacinus
Hyporthodus niphobles
Hypsoblennius brevipinnis
Hypsoblennius caulopus
Hypsoblennius paytensis
Ichthyapus selachops
Ichthyococcus irregularis
Idiacanthus antrostomus
Ilisha fuerthii
Ilyophis brunneus
Iniistius pavo
Ipnops agassizii
Istiompax indica
Istiophorus platypterus
Johnrandallia nigrirostris
Kajikia audax
Kali kerberti
Kali macrodon
Kathetostoma averruncus
Katsuwonus pelamis
Kuhlia mugil
Kyphosus analogus
Kyphosus elegans
Labrisomus dendriticus
Labrisomus jenkinsi
Labrisomus multiporosus
Labrisomus pomaspilus
Labrisomus xanti
Laemonema gracillipes
Lagocephalus lagocephalus
Lampanyctus hubbsi
Lampanyctus macropterus
Lampanyctus omostigma
Lampanyctus tenuiformis
Larimus acclivis
Larimus effulgens
Larimus pacificus
Lepidocybium flavobrunneum
Lepidonectes corallicola
Lepophidium prorates
Lestidiops pacificus
Letharchus rosenblatti
Leuroglossus stilbius
Lile stolifera
Liopropoma fasciatum
Liopropoma longilepis
Lonchopisthus sinuscalifornicus
Lophiodes caulinaris
Lophiodes spilurus
Loweina rara
Lucifuga inopinata
Lutjanus aratus
Lutjanus argentiventris
Lutjanus bohar
Lutjanus guttatus
Lutjanus jordani
Lutjanus novemfasciatus
Lutjanus russellii
Lutjanus viridis
Lycenchelys hadrogeneia
Lycenchelys incisa
Lycodapus australis
Lythrypnus dalli
Lythrypnus gilberti
Lythrypnus rhizophora
Makaira nigricans
Malacanthus brevirostris
Malacoctenus ebisui
Malacoctenus margaritae
Malacoctenus sudensis
Malacoctenus tetranemus
Malacoctenus zonifer
Malacoctenus zonogaster
Malacosteus niger
Masturus lanceolatus
Mataeocephalus tenuicauda
Maurolicus breviculus
Melamphaes laeviceps
Melanorhinus cyanellus
Melanostigma bathium
Melichthys niger
Melichthys vidua
Membras gilberti
Menticirrhus elongatus
Microdesmus dipus
Microdesmus retropinnis
Microgobius curtus
Microgobius miraflorensis
Microgobius tabogensis
Microlophichthys microlophus
Micropogonias altipinnis
Microspathodon bairdii
Microspathodon dorsalis
Mola mola
Monolene maculipinna
Monomitopus malispinosus
Monomitopus torvus
Mugil cephalus
Mugil curema
Mugil galapagensis
Mugil setosus
Mulloidichthys dentatus
Muraena argus
Muraena clepsydra
Muraena lentiginosa
Mycteroperca olfax
Mycteroperca xenarcha
Myctophum affine
Myctophum aurolaternatum
Myctophum brachygnathum
Myctophum nitidulum
Myctophum spinosum
Myrichthys tigrinus
Myrichthys xysturus
Myripristis berndti
Myripristis leiognathus
Myroconger nigrodentatus
Myrophis vafer
Myxodagnus sagitta
Nannobrachium ritteri
Naso brevirostris
Naso vlamingii
Naucrates ductor
Nealotus tripes
Nebris occidentalis
Nematistius pectoralis
Nemichthys scolopaceus
Nexilosus latifrons
Nezumia convergens
Nezumia latirostrata
Nezumia ventralis
Nicholsina denticulata
Nomeus gronovii
Notacanthus spinosus
Notarius kessleri
