Ablennes hians
Micropogonias altipinnis
Monolene maculipinna
Monomitopus malispinosus
Mugil cephalus
Mugil curema
Mulloidichthys dentatus
Muraena argus
Muraena lentiginosa
Mycteroperca olfax
Mycteroperca xenarcha
Myctophum affine
Myctophum nitidulum
Myrichthys tigrinus
Myrophis vafer
Myxodagnus macrognathus
Myxodes viridis
Nannobrachium phyllisae
Naucrates ductor
Nebris occidentalis
Nematistius pectoralis
Nemichthys scolopaceus
Neobythites stelliferoides
Neoopisthopterus tropicus
Nexilosus latifrons
Nezumia bairdii
Nezumia convergens
Nezumia parini
Nezumia stelgidolepis
Nicholsina denticulata
Notarius troschelii
Odontesthes regia
Odontoscion xanthops
Ogcocephalus darwini
Ogcocephalus porrectus
Oligoplites altus
Oligoplites refulgens
Oligoplites saurus
Oneirodes rosenblatti
Ophichthus remiger
Ophichthus triserialis
Ophichthus zophochir
Ophidion fulvum
Ophioblennius steindachneri
Ophioscion scierus
Ophioscion vermicularis
Opisthonema libertate
Opisthonema medirastre
Opisthopterus dovii
Opisthopterus equatorialis
Oplegnathus insignis
Orthopristis chalceus
Paraclinus fehlmanni
Paraconger californiensis
Parahypsos piersoni
Paralabrax callaensis
Paralabrax humeralis
Paralabrax loro
Paralichthys adspersus
Paralichthys woolmani
Paraliparis carlbondi
Paraliparis merodontus
Paralonchurus dumerilii
Paralonchurus goodei
Paralonchurus peruanus
Paralonchurus petersii
Paralonchurus rathbuni
Paranthias colonus
Parapsettus panamensis
Pareques lanfeari
Pareques viola
Patagonotothen ramsayi
Peprilus medius
Peristedion barbiger
Physiculus nematopus
Physiculus talarae
Plagiotremus azaleus
Poecilia reticulata
Polydactylus approximans
Polydactylus opercularis
Pomacanthus zonipectus
Pomadasys bayanus
Pomadasys branickii
Pomadasys panamensis
Pomadasys schyrii
Pontinus clemensi
Pontinus furcirhinus
Pontinus sierra
Porichthys margaritatus
Poromitra crassiceps
Prionotus horrens
Prionotus stephanophrys
Prionurus laticlavius
Pristigenys serrula
Prolatilus jugularis
Pronotogrammus multifasciatus
Psenes sio
Pseudobalistes naufragium
Pseudogramma thaumasia
Pseudorhombus binii
Pseudupeneus grandisquamis
Remora brachyptera
Remora remora
Rhynchoconger nitens
Rouleina attrita
Ruvettus pretiosus
Rypticus bicolor
Rypticus nigripinnis
Saccogaster normae
Sarda orientalis
Sardinops sagax
Scartichthys gigas
Scartichthys viridis
Scarus dubius
Scarus perrico
Schedophilus haedrichi
Sciaena callaensis
Sciaena deliciosa
Sciaena wieneri
Scomber japonicus
Scomberomorus sierra
Scopelarchoides danae
Scopelarchoides nicholsi
Scopelengys tristis
Scopeloberyx robustus
Scopelosaurus hubbsi
Scorpaena afuerae
Scorpaena histrio
Scorpaena mystes
Scorpaena russula
Scorpaena tierrae
Scorpaenodes xyris
Searsia koefoedi
Sectator ocyurus
Selar crumenophthalmus
Selene brevoortii
Selene orstedii
Selene peruviana
Semicossyphus darwini
Seriola peruana
Seriola rivoliana
Seriolella violacea
Serranus huascarii
Serranus psittacinus
Serrivomer sector
Sicyases sanguineus
Sphoeroides angusticeps
Sphoeroides annulatus
Sphoeroides kendalli
Sphoeroides lobatus
Sphoeroides rosenblatti
Sphoeroides sechurae
Sphoeroides spengleri
Sphoeroides trichocephalus
Sphyraena ensis
Sphyraena idiastes
Stegastes acapulcoensis
Stegastes flavilatus
Stegastes rectifraenum
Stellifer ephelis
Stellifer ericymba
Stellifer fuerthii
Stellifer illecebrosus
Stellifer mancorensis
Stellifer minor
Stellifer oscitans
Stellifer pizarroensis
Sternoptyx diaphana
Stomias atriventer
Stomias colubrinus
Stromateus stellatus
Strongylura exilis
Syacium latifrons
Syacium longidorsale
Syacium ovale
Symphurus atramentatus
Symphurus callopterus
Symphurus chabanaudi
Symphurus civitatium
Symphurus melanurus
Symphurus melasmatotheca
Symphurus oligomerus
Symphurus prolatinaris
Symphurus undecimplerus
Symphurus williamsi
Synchiropus atrilabiatus
Syngnathus auliscus
Syngnathus macrobrachium
Synodus evermanni
Synodus foetens
Synodus lacertinus
Synodus marchenae
Synodus scituliceps
Synodus sechurae
Talismania bifurcata
Taractes rubescens
Thunnus albacares
Tomicodon chilensis
Tomicodon petersii
Trachinotus kennedyi
Trachinotus paitensis
Trachinotus rhodopus
Trachinotus stilbe
Trachurus murphyi
Trichiurus lepturus
Trinectes fimbriatus
