Heterocarpus reedi
Heterophoxus videns
Heteroptilus acutilobus
Heterorhabdus clausi
Heterorhabdus lobatus
Heterorhabdus papilliger
Heterorhabdus prolixus
Heterorhabdus spinifrons
Heterotanoides meridionalis
Holobomolochus chilensis
Holophryxus quadratahumerale
Homasterope micra
Huarpe escofeti
Hyalella chiloensis
Hyperia gaudichaudii
Hyperiella antarctica
Ianiropsis chilensis
Ianiropsis perplexus
Ianthopsis laevis
Iathrippa menziesi
Iathrippa multidens
Iathrippa varians
Igene walleni
Ionella agassizii
Iphimedia multidentata
Ischyrocerus hortator
Ischyromene eatoni
Ischyromene tuberculata
Isocypridina quatuorsetae
Jassa alonsoae
Jassa justi
Jasus frontalis
Joeropsis bidens
Joeropsis curvicornis
Joeropsis intermedius
Kyrtoecia kyrtophora
Landrumius antarcticus
Landrumius gigas
Landrumius insignis
Langitanais willemoesi
Laophontodes typicus
Laophontodes whitsoni
Lebbeus scrippsi
Lembos fuegiensis
Lepechinella auca
Lepeophtheirus chilensis
Lepeophtheirus mugiloidis
Leptochelia antarcticus
Leucothoe spinicarpa
Libidoclaea granaria
Liljeborgia longicornis
Liljeborgia macrodon
Liljeborgia octodentata
Lithodes murrayi
Lithodes santolla
Lophorochinia parabranchia
Lophothrix frontalis
Lophothrix humilifrons
Lophothrix similis
Loricoecia loricata
Lubbockia squillimana
Lucicutia aurita
Lucicutia bicornuta
Lucicutia bradyana
Lucicutia curta
Lucicutia flavicornis
Lucicutia grandis
Lucicutia longiserrata
Lucicutia macrocera
Lucicutia maxima
Lucicutia sarsi
Lucicutia wolfendeni
Lysianopsis subantarctica
Lysmata porteri
Macroconchoecia caudata
Macrocypridina castanea
Macrocypridina poulseni
Macropyxis amoena
Macropyxis antonbruunae
Macropyxis eltaninae
Macroscapha heroica
Macroscapha inaequata
Macroscapha turbida
Macrostylis dellacrocei
Magellianira serrata
Mayerella magellanica
Mecynocera clausi
Megacalanus princeps
Meridiosignum menziesi
Mesocalanus tenuicornis
Mesocletodes abyssicola
Metaconchoecia australis
Metaconchoecia inflata
Metaconchoecia rotundata
Metaconchoecia skogsbergi
Metandania tordi
Metharpinia longirostris
Metis jousseaumei
Metoediceros fuegiensis
Metopoides magellanica
Metridia brevicauda
Metridia curticauda
Metridia gerlachei
Metridia princeps
Microcalanus pygmaeus
Microphasma agassizi
Microphoxus cornutus
Microsetella norvegica
Microsetella rosea
Mikroconchoecia acuticosta
Mikroconchoecia curta
Mormonilla phasma
Moruloidea darwinii
Muelleroecia macromma
Munida curvipes
Munida gregaria
Munida montemaris
Munida propinqua
Munida spinosa
Munidopsis aspera
Munidopsis barrerai
Munidopsis cochlearis
Munidopsis hamata
Munidopsis opalescens
Munidopsis trifida
Munidopsis verrucosus
Munidopsis villosa
Munna chilensis
Munna gallardoi
Munna lundae
Munneurycope hadalis
Munnogonium globifrons
Mysidetes anomala
Mysidetes intermedia
Mysidetes patagonica
Mysidopsis acuta
Mysidopsis intii
Nannocalanus minor
Natatolana chilensis
Natatolana meridionalis
Natatolana pastorei
Nauticaris magellanica
Neastacilla diomedeae
Neastacilla magellanica
Nematobrachion boopis
Nematobrachion flexipes
Nematoscelis atlantica
Nematoscelis megalops
Neocalanus cristatus
Neocalanus gracilis
Neocalanus tonsus
Neojaera elongatus
Neolithodes diomedeae
Neomysis ilyapai
Neomysis patagona
Neomysis sopayi
Neoserolis exigua
Neotanais armiger
Neotanais calcarulus
Neotanais tuberculatus
Neotanais vemae
Neritoniscus euphoticus
Notobalanus flosculus
Notochthamalus scabrosus
Nototanais dimorphus
Nototropis dentatus
Nullosetigera bidentata
Nymphon adareanum
Nymphon arcuatum
Nymphon longicollum
Nymphon multidens
Nymphon procerum
Nymphon subtile
Obtusoecia antarctica
Oculosetella gracilis
Oithona atlantica
Oithona attenuata
Oithona decipiens
Oithona fallax
Oithona hamata
Oithona longispina
Oithona nana
Oithona plumifera
Oithona robusta
Oithona setigera
Oithona similis
Oithona simplex
Oithona tenuis
Oithona vivida
Omonana brachycephala
Omonana parasimplex
Oncaea media
Oncaea mediterranea
Oncaea venusta
