Sapphirina nigromaculata
Sapphirina opalina
Sapphirina stellata
Scaphocalanus affinis
Scaphocalanus curtus
Scaphocalanus echinatus
Scaphocalanus magnus
Scaphocalanus subbrevicornis
Scolecithricella abyssalis
Scolecithricella vittata
Scolecithrix bradyi
Scolecithrix danae
Scottocalanus securifrons
Scyllarides astori
Sicyonia aliaffinis
Sicyonia disdorsalis
Sicyonia picta
Smenispa convexa
Solenocera agassizii
Sphaeroma peruvianum
Spongicoloides galapagensis
Squilla biformis
Stephonyx mytilus
Stereomastis nana
Stereomastis pacifica
Stygiopontius stabilitus
Subeucalanus crassus
Subeucalanus monachus
Subeucalanus subcrassus
Subeucalanus subtenuis
Tanystylum cinctum
Temora discaudata
Temora stylifera
Tetraclita squamosa
Tetraclita stalactifera
Tomopagurus purpuratus
Trapezia digitalis
Triceratium weissii
Triconia conifera
Tymolus brucei
Undinula vulgaris
Upogebia tenuipollex
Urocorycaeus furcifer
Urocorycaeus longistylis
Uroptychus granulatus
Urstylis thiotyntlus
Venezillo beebei
Ventiella sulfuris
Willemoesia inornata
