Lipkemedaeus spinulifer
Lophogaster longirostris
Lubbockia squillimana
Lucicutia curta
Lucicutia flavicornis
Lupella forceps
Lysiosquilla scabricauda
Lysirude nitidus
Lysmata grabhami
Lysmata intermedia
Macrocoeloma trispinosum
Macropyxis kaesleri
Macropyxis kalbi
Macrosetella gracilis
Macrostylis caribbicus
Manucomplanus spinulosus
Mecynocera clausi
Megalobrachium poeyi
Megalobrachium roseum
Megalobrachium soriatum
Meiosquilla quadridens
Meiosquilla schmitti
Melita palmata
Meningodora miccyla
Meningodora vesca
Menippe nodifrons
Menippe obtusa
Mesanthura paucidens
Mesocalanus tenuicornis
Mesochra huysi
Mesopenaeus tropicalis
Mesorhoea sexspinosa
Mesosignum kohleri
Mesosignum usheri
Metanephrops binghami
Metapenaeopsis gerardoi
Metapenaeopsis goodei
Metapenaeopsis hobbsi
Metapenaeopsis smithi
Microlissa tuberosa
Microphrys platysoma
Microprosthema semilaeve
Microprotopus raneyi
Microsetella rosea
Minyocerus angustus
Miracia efferata
Mithraculus coryphe
Mithraculus forceps
Mithraculus sculptus
Mormonilla phasma
Munida angulata
Munida benedicti
Munida flinti
Munida irrasa
Munida refulgens
Munida valida
Munidion princeps
Munidopsis abbreviata
Munidopsis antonii
Munidopsis aries
Munidopsis bradleyi
Munidopsis colombiana
Munidopsis erinacea
Munidopsis latirostris
Munidopsis panamae
Munidopsis polita
Munidopsis ramahtaylorae
Munidopsis recta
Munidopsis riveroi
Munidopsis robusta
Munidopsis sigsbei
Munidopsis subspinoculata
Munidopsis vicina
Myropsis quinquespinosa
Mysidopsis ankeli
Mysidopsis cultrata
Mysidopsis robusta
Mysidopsis velifera
Mysidopsis virgulata
Nancyplax vossi
Nannocalanus minor
Nanoplax xanthiformis
Nasageneia bacescui
Nasageneia comisariensis
Nasageneia yucatanensis
Nematocarcinus agassizii
Nematocarcinus ensifer
Nematopalaemon colombiensis
Nematopalaemon schmitti
Neocalanus gracilis
Neocalanus robustior
Neocallichirus lemaitrei
Neogonodactylus bahiahondensis
Neogonodactylus bredini
Neogonodactylus festae
Neogonodactylus lacunatus
Neogonodactylus oerstedii
Neolithodes agassizii
Neopisosoma angustifrons
Neopisosoma neglectum
Neosergestes edwardsii
Neosergestes orientalis
Neotanais armiger
Nephropides caribaeus
Nephropsis aculeata
Nephropsis rosea
Nikoides schmitti
Notolopas brasiliensis
Nyctiphanes simplex
Odontodactylus brevirostris
Oithona plumifera
Oithona setigera
Omalacantha bicornuta
Oncaea media
Oncaea venusta
Oncilorpheus stebbingi
Oncopagurus gracilis
Oplophorus gracilirostris
Oplophorus spinosus
Ozius perlatus
Pachycheles ackleianus
Pachycheles monilifer
Pachygrapsus transversus
Pagina tunica
Paguristes inconstans
Paguristes lapillatus
Paguristes laticlavus
Paguristes moorei
Paguristes paraguanensis
Paguristes zebra
Pagurus brevidactylus
Pagurus criniticornis
Pagurus curacaoensis
Pagurus longicarpus
Pagurus meloi
Pagurus protuberocarpus
Palaemon mundusnovus
Palaemon northropi
Palicus alternatus
Palicus faxoni
Palicus gracilipes
Palicus gracilis
Palicus sicus
Palinurus elephas
Pallenopsis schmitti
Panopeus occidentalis
Panoplax elata
Pantomus affinis
Panulirus argus
Panulirus guttatus
Paracalanus aculeatus
Paracalanus parvus
Paracyclois atlantis
Paraeuchaeta papilliger
Paraeuchaeta rasa
Paraeuchaeta scopaeorhina
Paragathotanais typicus
Paragiopagurus pilimanus
Paraheterorhabdus robustus
